,target,TweetText
541200,0,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx
750,0,I'm off too bed. I gotta wake up hella early tomorrow morning. 
766711,0,I havent been able to listen to it yet  My speakers are busted
285055,0,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt 
705995,0,"Ate too much, feel sick "
379611,0,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...
1189017,4,on lunch....dj should come eat with me 
667030,0,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month 
93541,0,can't log in to my other twitter account. super bummed 
1365937,4,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response 
1380170,4,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
1233932,4,to sum up my day in one word ......... kackered! 
1495500,4,@k9wkj Great minds think alike 
558391,0,is very tired and doesn't want to clean anymore 
820010,4,@LochNessCullen thanks for the follow!  how are you nessie? 
986772,4,"@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs "
1586083,4,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
209248,0,"so sad...   tough game, went into PK's, screw you."
320428,0,@pedromelian I miss you  I wish it was the 18th already!
427095,0,I'm leaving in a while... 
288475,0,Oh  I've lost my ipod. What a dickhead I am.
1399245,4,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla 
1042030,4,@tom_e_white http://my.safaribooksonline.com/9780596521974 -- congrats on getting out the Hadoop book (esp the ZooKeeper chapter  )
1589402,4,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za
44848,0,@PrincessSuperC I heard that supernatural and click flash didn't make the cut on the final product.....why Ciara why? 
625585,0,Willow seems almost better! Harper sounds worse  off to the Drs...
1421747,4,MY FAVORITE WORD IS NO! 
171708,0,@ELEWW Dood - they've locked down your Vimeo WH video. 
314466,0,is having information overload... getting dizzy  http://plurk.com/p/xugag
833693,4,@schel You're absolutely right! 
977527,4,"@ellieowen1 Honestly, it depends on the woman.. I love dresses that tend to dip low in the back "
